Latent Space Dimension (bytes),Reconstruction Error (MSE Loss)
4.0,0.05999231959382693
8.0,0.054895484199126564
12.0,0.05167031288146973
16.0,0.04764707013964653
20.0,0.044156612207492195
24.0,0.04110977301994959
28.0,0.039576967557271324
32.0,0.03580231964588165
36.0,0.034707470486561455
40.0,0.035576814164717994
44.0,0.0317803310851256
48.0,0.031422339379787445
52.0,0.030440468961993854
56.0,0.029854919761419296
60.0,0.02813695805768172
64.0,0.02831851380566756
68.0,0.027120740463336308
72.0,0.02559607910613219
76.0,0.024876628071069717
80.0,0.024072548374533653
84.0,0.023290103301405907
88.0,0.02297474630177021
92.0,0.019907511149843533
96.0,0.022211469088991482
